"Time Stamp","Time Zone","Name","PTID","Load"
"04/25/2021 00:00:00","EDT","CAPITL",61757,1024.6609
"04/25/2021 00:00:00","EDT","CENTRL",61754,1359.6041
"04/25/2021 00:00:00","EDT","DUNWOD",61760,501.5736
"04/25/2021 00:00:00","EDT","GENESE",61753,819.6777
"04/25/2021 00:00:00","EDT","HUD VL",61758,790.4069
"04/25/2021 00:00:00","EDT","LONGIL",61762,1652.7012
"04/25/2021 00:00:00","EDT","MHK VL",61756,626.7733
"04/25/2021 00:00:00","EDT","MILLWD",61759,222.5523
"04/25/2021 00:00:00","EDT","N.Y.C.",61761,4207.1846
"04/25/2021 00:00:00","EDT","NORTH",61755,586.8228
"04/25/2021 00:00:00","EDT","WEST",61752,1355.1436
"04/25/2021 00:05:00","EDT","CAPITL",61757,1005.5319
"04/25/2021 00:05:00","EDT","CENTRL",61754,1305.7173
"04/25/2021 00:05:00","EDT","DUNWOD",61760,485.0898
"04/25/2021 00:05:00","EDT","GENESE",61753,819.8685
"04/25/2021 00:05:00","EDT","HUD VL",61758,769.3478
"04/25/2021 00:05:00","EDT","LONGIL",61762,1652.5283
"04/25/2021 00:05:00","EDT","MHK VL",61756,639.4
"04/25/2021 00:05:00","EDT","MILLWD",61759,216.9959
"04/25/2021 00:05:00","EDT","N.Y.C.",61761,4171.924
"04/25/2021 00:05:00","EDT","NORTH",61755,562.1803
"04/25/2021 00:05:00","EDT","WEST",61752,1318.3889
"04/25/2021 00:10:00","EDT","CAPITL",61757,1024.0082
"04/25/2021 00:10:00","EDT","CENTRL",61754,1306.3495
"04/25/2021 00:10:00","EDT","DUNWOD",61760,494.6779
"04/25/2021 00:10:00","EDT","GENESE",61753,819.7208
"04/25/2021 00:10:00","EDT","HUD VL",61758,765.6671
"04/25/2021 00:10:00","EDT","LONGIL",61762,1626.3115
"04/25/2021 00:10:00","EDT","MHK VL",61756,617.1185
"04/25/2021 00:10:00","EDT","MILLWD",61759,233.4075
