name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
"New York City, NY",2019-01-01T00:00:00,46.9,44.3,45.9,96.24,0.16,,,0,0,,5.4,114,1009,99,2.8,,,0,,"Rain, Overcast"
"New York City, NY",2019-01-01T01:00:00,46.9,46.9,46.1,97.19,0.06,,,0,0,,0,0,1007.4,99,3.2,,,0,,"Rain, Overcast"
"New York City, NY",2019-01-01T02:00:00,49.5,49.5,48.2,,0.02,,,0,0,,2.7,243,1005.2,98.4,6.3,,,0,,"Rain, Overcast"
"New York City, NY",2019-01-01T03:00:00,51.1,,50,,0,,,0,0,,6.7,215,1003.3,100,3.5,,,0,,Overcast
"New York City, NY",2019-01-01T04:00:00,51.9,,50.6,,0.01,,,0,0,,13.7,250,1003,98.9,3.2,,,0,,"Rain, Overcast"
"New York City, NY",2019-01-01T05:00:00,53.4,,52.1,,0,,,0,0,25.3,13,246,1002.2,99,5.9,,,0,,Overcast
"New York City, NY",2019-01-01T06:00:00,55,,53.2,,0,,,0,0,,12.9,256,1003,93.1,9.9,,,0,,Overcast
"New York City, NY",2019-01-01T07:00:00,57,,52.8,,0.12,,,0,0,27.7,18.3,246,1002.8,20.8,9.9,8,0,0,,"Rain, Partially cloudy"
"New York City, NY",2019-01-01T08:00:00,57.2,,52,,0,,,0,0,31.8,20,236,1003.9,75.5,9.9,31,0.1,0,,Partially cloudy
"New York City, NY",2019-01-01T09:00:00,58.1,,51,,0,,,0,0,30.8,18.7,250,1005.1,61.2,9.9,62,0.2,1,,Partially cloudy
"New York City, NY",2019-01-01T10:00:00,58.4,,47.2,,0,,,0,0,34.9,24.2,270,1006.2,75.5,9.9,131,0.5,1,,Partially cloudy
"New York City, NY",2019-01-01T11:00:00,58.1,,44,,0,,,0,0,36.1,24.5,282,1007.7,51.6,9.9,96,0.3,1,,Partially cloudy
"New York City, NY",2019-01-01T12:00:00,56,,38.5,,0,,,0,0,36.2,20.3,314,1008.5,20.8,9.9,216,0.8,2,,Partially cloudy
"New York City, NY",2019-01-01T13:00:00,55,,35.6,,0,,,0,0,33.3,24.1,324,1009.3,17,9.9,443,1.6,4,,Clear
"New York City, NY",2019-01-01T14:00:00,51.6,51.6,35.1,,0,,,0,0,37.2,24.3,322,1011.1,71.7,9.9,287,1,3,,Partially cloudy
"New York City, NY",2019-01-01T15:00:00,49,41.5,32.1,,0,,,0,0,37.1,24.8,320,1013.6,80.6,9.9,169,0.6,2,,Partially cloudy
"New York City, NY",2019-01-01T16:00:00,47.5,39.7,30.5,51.38,0,,,0,0,34.6,23.4,320,1015.3,50.8,9.9,80,0.3,1,,Partially cloudy
"New York City, NY",2019-01-01T17:00:00,45.6,38.2,29.3,52.8,0,,,0,0,33.3,17.9,326,1016.6,83.9,9.9,15,0.1,0,,Partially cloudy
"New York City, NY",2019-01-01T18:00:00,44.6,37.4,30.3,56.93,0,,,0,0,28.5,16.3,314,1017.8,77.5,9.9,,,0,,Partially cloudy
"New York City, NY",2019-01-01T19:00:00,44.2,37.3,30.3,57.78,0,,,0,0,31.1,14.8,318,1018.6,53.6,9.9,,,0,,Partially cloudy
"New York City, NY",2019-01-01T20:00:00,43.5,36.6,30.1,59,0,,,0,0,21.9,13.9,324,1019.7,53,9.9,,,0,,Partially cloudy
