,Time Stamp,temp,feelslike,humidity,windgust,windspeed,sealevelpressure,cloudcover,visibility,conditions,Time Zone,Name,PTID,Load
0,2018-01-01 00:00:00,9.2,-5.4,55.55,19.7,11.3,1026.5,4.4,9.9,Clear,EST,N.Y.C.,61761,6198.0
1,2018-01-01 01:00:00,9.2,-5.6,55.97,20.8,11.6,1026.7,0.0,9.9,Clear,EST,N.Y.C.,61761,6019.7
2,2018-01-01 02:00:00,9.1,-6.0,55.91,20.2,12.0,1026.9,0.0,9.9,Clear,EST,N.Y.C.,61761,5818.4
3,2018-01-01 03:00:00,8.3,-6.2,58.0,19.7,10.7,1027.3,0.0,9.9,Clear,EST,N.Y.C.,61761,5687.6
4,2018-01-01 04:00:00,8.1,-5.6,56.1,,9.7,1027.3,0.0,9.9,Clear,EST,N.Y.C.,61761,5557.5
5,2018-01-01 05:00:00,8.1,-7.3,56.53,20.8,12.1,1027.9,0.0,9.9,Clear,EST,N.Y.C.,61761,5570.0
6,2018-01-01 06:00:00,7.3,-6.4,58.67,22.69545454545454,9.3,1027.9,0.0,9.9,Clear,EST,N.Y.C.,61761,5621.5
7,2018-01-01 07:00:00,7.2,-8.1,49.425333333333334,27.7,11.4,1028.2,10.5,9.9,Clear,EST,N.Y.C.,61761,5741.3
8,2018-01-01 08:00:00,7.5,-6.4,49.34158333333333,19.8,10.857142857142858,1028.3,4.4,9.9,Clear,EST,N.Y.C.,61761,5867.5
9,2018-01-01 09:00:00,8.7,-5.9,49.16570098039216,28.7,10.93896103896104,1028.7,10.5,9.9,Clear,EST,N.Y.C.,61761,6040.5
10,2018-01-01 10:00:00,11.4,-3.2,49.23958986928105,27.8,10.92591756070017,1029.1,10.5,9.9,Clear,EST,N.Y.C.,61761,6199.7
11,2018-01-01 11:00:00,12.6,-2.1,49.31801092191262,21.8,10.86341756070017,1028.7,10.5,9.9,Clear,EST,N.Y.C.,61761,6404.8
12,2018-01-01 12:00:00,14.7,0.9,49.28601092191262,28.8,12.3,1028.2,10.5,9.9,Clear,EST,N.Y.C.,61761,6496.7
13,2018-01-01 13:00:00,15.8,2.1,49.799566477468176,22.9,12.7,1027.5,10.5,9.9,Clear,EST,N.Y.C.,61761,6528.9
14,2018-01-01 14:00:00,17.6,4.6,50.1554035986803,20.9,12.2,1027.1,10.5,9.9,Clear,EST,N.Y.C.,61761,6600.1
15,2018-01-01 15:00:00,18.6,7.7,50.39167746909802,20.7,9.1,1027.2,10.5,9.9,Clear,EST,N.Y.C.,61761,6613.5
16,2018-01-01 16:00:00,18.4,6.1,50.49211122454466,19.6,11.3,1027.1,10.5,9.9,Clear,EST,N.Y.C.,61761,6654.1
17,2018-01-01 17:00:00,18.2,6.8,35.36,24.2,9.8,1027.2,10.5,9.9,Clear,EST,N.Y.C.,61761,6971.6
18,2018-01-01 18:00:00,18.2,6.1,34.43,20.8,10.8,1027.7,10.5,9.9,Clear,EST,N.Y.C.,61761,7125.9
19,2018-01-01 19:00:00,17.3,8.0,38.55,21.9,6.7,1028.1,10.5,9.9,Clear,EST,N.Y.C.,61761,7095.9
20,2018-01-01 20:00:00,17.3,6.1,38.84,20.2,9.1,1028.3,10.5,9.9,Clear,EST,N.Y.C.,61761,7008.2
21,2018-01-01 21:00:00,17.1,7.4,42.11,22.18421052631579,7.2,1027.8,10.5,9.9,Clear,EST,N.Y.C.,61761,6848.5
22,2018-01-01 22:00:00,17.1,4.2,46.75,21.5,11.8,1027.8,10.5,9.9,Clear,EST,N.Y.C.,61761,6655.5
23,2018-01-01 23:00:00,16.0,2.2,54.0,23.3,12.7,1027.8,10.5,9.9,Clear,EST,N.Y.C.,61761,6296.3
0,2018-01-02 00:00:00,15.2,5.5,57.31,24.2,6.8,1027.8,10.5,9.9,Clear,EST,N.Y.C.,61761,5993.0
1,2018-01-02 01:00:00,15.2,1.9,55.45,23.0,11.5,1027.8,10.5,9.9,Clear,EST,N.Y.C.,61761,5723.5
2,2018-01-02 02:00:00,15.2,-0.5,53.37,24.1,16.3,1028.2,10.5,9.9,Clear,EST,N.Y.C.,61761,5516.6
3,2018-01-02 03:00:00,14.3,-0.9,54.57,24.1,14.5,1028.6,0.0,9.9,Clear,EST,N.Y.C.,61761,5452.3
4,2018-01-02 04:00:00,14.1,-0.1,55.01,20.3,12.5,1028.6,0.0,9.9,Clear,EST,N.Y.C.,61761,5405.4
5,2018-01-02 05:00:00,13.1,0.7,57.43,26.4,9.4,1028.6,0.0,9.9,Clear,EST,N.Y.C.,61761,5511.5
