,Time Stamp,temp,feelslike,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions,Time Zone,Name,PTID,Load
0,2020-01-01 00:00:00,41.3,34.3,58.68,22.3,12.2,272.0,1003.7,91.5,9.9,Overcast,EST,N.Y.C.,61761,5012.3
1,2020-01-01 01:00:00,39.8,33.3,57.83,24.2,10.3,268.0,1003.8,88.0,9.9,Partially cloudy,EST,N.Y.C.,61761,4879.4
2,2020-01-01 02:00:00,39.2,32.2,61.4,18.5,11.0,276.0,1004.1,87.4,9.9,Partially cloudy,EST,N.Y.C.,61761,4685.5
3,2020-01-01 03:00:00,39.1,31.1,59.42,24.3,13.8,264.0,1004.5,59.3,9.9,Partially cloudy,EST,N.Y.C.,61761,4579.5
4,2020-01-01 04:00:00,38.9,31.3,55.18,24.4,12.5,255.0,1004.9,91.5,9.9,Overcast,EST,N.Y.C.,61761,4467.8
5,2020-01-01 05:00:00,38.0,31.8,55.44,20.6,8.7,278.0,1005.0,99.0,9.9,Overcast,EST,N.Y.C.,61761,4452.8
6,2020-01-01 06:00:00,37.1,31.3,55.27,21.7,7.7,260.0,1005.5,87.3,9.9,Partially cloudy,EST,N.Y.C.,61761,4524.8
7,2020-01-01 07:00:00,37.1,29.8,60.2,23.0,10.7,262.0,1005.7,93.9,9.9,Overcast,EST,N.Y.C.,61761,4648.1
8,2020-01-01 08:00:00,37.1,30.3,58.47,19.8,9.6,267.0,1006.1,84.1,9.9,Partially cloudy,EST,N.Y.C.,61761,4755.2
9,2020-01-01 09:00:00,37.3,29.610526315789475,52.84,24.2,13.3,266.0,1007.0,83.1,9.9,Partially cloudy,EST,N.Y.C.,61761,4906.8
10,2020-01-01 10:00:00,38.2,29.37552631578948,49.53,26.5,9.7,260.0,1007.7,83.3,9.9,Partially cloudy,EST,N.Y.C.,61761,5030.6
11,2020-01-01 11:00:00,38.5,29.16124060150376,45.02,24.8,14.3,277.0,1007.5,57.3,9.9,Partially cloudy,EST,N.Y.C.,61761,5164.3
12,2020-01-01 12:00:00,39.3,28.98396787423103,42.14,26.5,15.1,282.0,1007.1,79.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5291.9
13,2020-01-01 13:00:00,38.5,29.17527222205712,44.89,27.4,12.6,281.0,1006.8,93.1,9.9,Overcast,EST,N.Y.C.,61761,5429.8
14,2020-01-01 14:00:00,38.4,29.329438888723786,43.3,28.2,14.0,287.0,1007.0,93.9,9.9,Overcast,EST,N.Y.C.,61761,5493.9
15,2020-01-01 15:00:00,38.4,29.9,44.64,22.4,14.5,283.0,1007.6,93.9,9.9,Overcast,EST,N.Y.C.,61761,5540.7
16,2020-01-01 16:00:00,38.4,30.6,45.5,18.5,12.5,279.0,1008.4,93.5,9.9,Overcast,EST,N.Y.C.,61761,5576.5
17,2020-01-01 17:00:00,38.2,31.7,46.62,21.1,9.4,271.0,1009.6,90.8,9.9,Overcast,EST,N.Y.C.,61761,5802.5
18,2020-01-01 18:00:00,38.0,31.2,47.52,19.7,9.9,266.0,1010.1,95.7,9.9,Overcast,EST,N.Y.C.,61761,5889.8
19,2020-01-01 19:00:00,37.3,29.4,48.84,20.0,12.2,276.0,1010.8,95.7,9.9,Overcast,EST,N.Y.C.,61761,5863.1
20,2020-01-01 20:00:00,36.2,28.6,49.5,19.7,10.9,272.0,1011.4,79.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5791.5
21,2020-01-01 21:00:00,35.3,27.4,50.85,25.3,10.8,263.0,1012.1,10.5,9.9,Clear,EST,N.Y.C.,61761,5695.2
22,2020-01-01 22:00:00,35.1,29.2,51.17,19.644444444444442,7.1,270.0,1012.3,4.4,9.9,Clear,EST,N.Y.C.,61761,5528.8
23,2020-01-01 23:00:00,34.5,27.6,52.53,19.25444444444444,8.4,262.0,1012.4,0.0,9.9,Clear,EST,N.Y.C.,61761,5262.2
0,2020-01-02 00:00:00,33.7,28.4,52.08,17.2,5.8,238.0,1012.7,0.0,9.9,Clear,EST,N.Y.C.,61761,4948.9
1,2020-01-02 01:00:00,33.4,33.4,54.44,18.87262626262626,3.0,295.0,1012.6,0.0,9.9,Clear,EST,N.Y.C.,61761,4724.4
2,2020-01-02 02:00:00,33.7,26.3,56.76,18.79741046831956,9.2,243.0,1013.3,0.0,9.9,Clear,EST,N.Y.C.,61761,4586.5
3,2020-01-02 03:00:00,33.1,27.2,58.22,18.206265965439517,6.5,230.0,1013.6,8.0,9.9,Clear,EST,N.Y.C.,61761,4520.9
4,2020-01-02 04:00:00,33.2,27.2,59.52,18.07552246734816,6.6,224.0,1013.7,14.1,9.9,Clear,EST,N.Y.C.,61761,4485.5
5,2020-01-02 05:00:00,33.5,26.6,59.6,17.96834774215759,8.1,236.0,1014.1,10.5,9.9,Clear,EST,N.Y.C.,61761,4584.0
6,2020-01-02 06:00:00,33.3,27.3,59.95,18.03819753689919,6.7,232.0,1014.4,10.5,9.9,Clear,EST,N.Y.C.,61761,4960.0
7,2020-01-02 07:00:00,33.5,27.4,59.97,17.962340380014908,6.8,236.0,1014.9,10.5,9.9,Clear,EST,N.Y.C.,61761,5498.9
8,2020-01-02 08:00:00,34.2,34.2,58.51,17.88642491744176,1.9,289.0,1015.0,12.0,9.9,Clear,EST,N.Y.C.,61761,5902.1
9,2020-01-02 09:00:00,37.4,34.0,53.87,17.857348458532872,4.3,204.0,1015.2,13.9,9.9,Clear,EST,N.Y.C.,61761,6100.6
10,2020-01-02 10:00:00,40.8,35.7,49.81,17.837514457731483,7.7,234.0,1015.5,12.3,9.9,Clear,EST,N.Y.C.,61761,6152.1
11,2020-01-02 11:00:00,43.1,39.3,47.8,17.825620522783655,6.2,230.0,1014.8,10.5,9.9,Clear,EST,N.Y.C.,61761,6212.9
12,2020-01-02 12:00:00,45.2,41.4,43.13,17.806295339682244,6.9,249.0,1014.1,12.0,9.9,Clear,EST,N.Y.C.,61761,6227.2
13,2020-01-02 13:00:00,46.4,44.3,41.83,18.3,4.6,291.0,1013.1,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,6231.7
14,2020-01-02 14:00:00,48.3,44.7,38.14,17.782677877873027,8.0,220.0,1012.9,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,6208.3
15,2020-01-02 15:00:00,48.8,44.9,37.81,18.3,9.2,217.0,1012.5,29.0,9.9,Partially cloudy,EST,N.Y.C.,61761,6159.3
16,2020-01-02 16:00:00,48.5,45.0,41.37,17.2,7.8,213.0,1012.1,31.5,9.9,Partially cloudy,EST,N.Y.C.,61761,6232.2
17,2020-01-02 17:00:00,47.6,43.2,47.45,17.76112165219441,9.4,219.0,1011.9,29.0,9.9,Partially cloudy,EST,N.Y.C.,61761,6411.5
18,2020-01-02 18:00:00,47.8,44.4,50.04,17.2,7.3,202.0,1011.9,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,6473.8
19,2020-01-02 19:00:00,47.2,43.3,54.24,18.3,8.1,206.0,1011.6,21.7,9.9,Partially cloudy,EST,N.Y.C.,61761,6294.5
20,2020-01-02 20:00:00,46.6,44.7,54.48,17.2,4.3,214.0,1011.7,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,6072.0
21,2020-01-02 21:00:00,46.4,43.3,56.41,17.532224330438883,6.1,231.0,1011.9,60.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5898.8
22,2020-01-02 22:00:00,46.5,43.8,58.92,17.598669196526657,5.4,218.0,1011.3,41.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5618.2
23,2020-01-02 23:00:00,46.4,44.5,59.24,17.566178705393106,4.2,250.0,1010.4,41.2,9.9,Partially cloudy,EST,N.Y.C.,61761,5279.4
0,2020-01-03 00:00:00,46.6,44.4,59.76,17.639414446471726,4.7,220.0,1010.1,93.1,9.9,Overcast,EST,N.Y.C.,61761,4906.9
1,2020-01-03 01:00:00,46.7,44.4,61.16,17.507297335766076,4.9,218.0,1009.5,89.4,9.9,Partially cloudy,EST,N.Y.C.,61761,4630.2
2,2020-01-03 02:00:00,47.4,44.7,59.96,17.56875680291929,5.9,257.0,1010.1,84.1,9.9,Partially cloudy,EST,N.Y.C.,61761,4464.3
3,2020-01-03 03:00:00,47.6,44.2,61.34,17.576063297415374,7.4,243.0,1009.7,100.0,9.9,Overcast,EST,N.Y.C.,61761,4336.0
4,2020-01-03 04:00:00,46.6,43.6,64.95,17.571542117593115,6.0,233.0,1009.4,100.0,9.9,"Rain, Overcast",EST,N.Y.C.,61761,4298.1
5,2020-01-03 05:00:00,45.1,45.1,75.98,17.572614800033115,2.0,284.0,1009.9,100.0,7.8,"Rain, Overcast",EST,N.Y.C.,61761,4377.6
6,2020-01-03 06:00:00,44.3,40.9,82.49,17.559254870745395,6.0,209.0,1010.3,100.0,9.9,"Rain, Overcast",EST,N.Y.C.,61761,4740.0
7,2020-01-03 07:00:00,45.2,43.4,78.9,17.569646377741257,3.9,232.0,1009.6,99.0,9.2,"Rain, Overcast",EST,N.Y.C.,61761,5271.7
8,2020-01-03 08:00:00,45.0,42.3,84.79,17.569824292705654,5.1,200.0,1009.9,93.0,9.4,"Rain, Overcast",EST,N.Y.C.,61761,5717.4
9,2020-01-03 09:00:00,45.1,44.0,88.53,17.568576491763707,3.1,284.0,1010.2,68.8,1.8,"Rain, Partially cloudy",EST,N.Y.C.,61761,5981.0
10,2020-01-03 10:00:00,44.8,44.8,92.78,17.567983366597826,2.8,286.0,1010.7,79.7,1.7,"Rain, Partially cloudy",EST,N.Y.C.,61761,6145.8
11,2020-01-03 11:00:00,45.0,43.4,92.84,17.56705707991077,3.6,305.0,1009.5,97.5,4.0,"Rain, Overcast",EST,N.Y.C.,61761,6176.9
12,2020-01-03 12:00:00,45.4,42.6,88.82,17.568617521743843,5.4,240.0,1008.5,94.7,5.7,Overcast,EST,N.Y.C.,61761,6250.1
13,2020-01-03 13:00:00,47.0,47.0,87.31,17.56841175054436,0.8,333.0,1007.3,70.3,6.7,Partially cloudy,EST,N.Y.C.,61761,6251.1
14,2020-01-03 14:00:00,47.2,44.7,83.44,17.5681292421121,5.5,258.0,1008.6,67.1,6.8,Partially cloudy,EST,N.Y.C.,61761,6213.6
15,2020-01-03 15:00:00,47.7,46.4,83.66,17.568039792181782,3.7,290.0,1008.6,75.5,7.6,Partially cloudy,EST,N.Y.C.,61761,6183.1
16,2020-01-03 16:00:00,48.5,48.5,81.33,17.56805107729857,2.4,285.0,1008.7,56.9,8.5,Partially cloudy,EST,N.Y.C.,61761,6193.3
17,2020-01-03 17:00:00,47.9,45.6,82.53,17.568249876776132,5.2,300.0,1009.4,93.9,9.9,Overcast,EST,N.Y.C.,61761,6343.7
18,2020-01-03 18:00:00,47.9,46.5,80.79,17.56817634778259,3.9,281.0,1008.9,58.4,9.9,Partially cloudy,EST,N.Y.C.,61761,6355.9
19,2020-01-03 19:00:00,48.7,46.3,80.23,17.568129267230233,5.7,242.0,1009.2,54.7,9.9,Partially cloudy,EST,N.Y.C.,61761,6151.0
20,2020-01-03 20:00:00,48.7,45.7,81.34,17.568129272253863,6.9,241.0,1010.2,93.1,9.9,Overcast,EST,N.Y.C.,61761,5924.3
21,2020-01-03 21:00:00,47.9,46.4,84.14,17.568147168268275,4.0,237.0,1010.0,100.0,8.6,Overcast,EST,N.Y.C.,61761,5725.8
22,2020-01-03 22:00:00,47.9,46.6,86.15,17.568166386462217,3.8,288.0,1010.5,90.2,6.3,"Rain, Overcast",EST,N.Y.C.,61761,5494.2
23,2020-01-03 23:00:00,47.8,47.8,87.37,17.568149688399437,0.0,0.0,1009.9,76.3,6.7,"Rain, Partially cloudy",EST,N.Y.C.,61761,5229.1
0,2020-01-04 00:00:00,47.6,47.6,91.58,17.568144356522804,0.0,0.0,1008.9,88.0,4.9,"Rain, Partially cloudy",EST,N.Y.C.,61761,4907.5
1,2020-01-04 01:00:00,47.6,47.6,93.03,18.8567894786511,0.0,0.0,1008.2,89.1,5.4,Partially cloudy,EST,N.Y.C.,61761,4640.8
2,2020-01-04 02:00:00,47.4,46.6,91.58,19.071566179717305,3.1,48.0,1007.9,95.9,3.9,"Rain, Overcast",EST,N.Y.C.,61761,4464.8
3,2020-01-04 03:00:00,47.4,46.1,94.25,20.01897372710755,3.6,55.0,1008.0,70.3,2.4,"Rain, Partially cloudy",EST,N.Y.C.,61761,4346.8
4,2020-01-04 04:00:00,46.8,46.8,93.51,21.185452928799773,0.0,0.0,1007.4,98.9,1.2,"Rain, Overcast",EST,N.Y.C.,61761,4279.9
5,2020-01-04 05:00:00,46.7,46.7,95.63,22.25565851897761,0.8,16.0,1007.0,97.2,1.9,"Rain, Overcast",EST,N.Y.C.,61761,4320.8
6,2020-01-04 06:00:00,46.6,46.6,96.04,23.288844083325333,1.6,32.0,1005.9,92.2,2.0,"Rain, Overcast",EST,N.Y.C.,61761,4392.5
7,2020-01-04 07:00:00,47.6,45.0,93.49,24.356408676175235,5.8,120.0,1005.5,98.3,7.5,Overcast,EST,N.Y.C.,61761,4587.0
8,2020-01-04 08:00:00,47.2,45.5,94.66,25.17544482786546,4.2,68.0,1004.9,92.3,4.1,Overcast,EST,N.Y.C.,61761,4827.1
9,2020-01-04 09:00:00,47.8,44.8,95.78,25.92013915654949,6.5,122.0,1004.6,100.0,1.2,Overcast,EST,N.Y.C.,61761,5082.2
10,2020-01-04 10:00:00,47.7,44.6,97.2,27.064035375920934,6.6,129.0,1004.8,100.0,1.0,Overcast,EST,N.Y.C.,61761,5304.0
11,2020-01-04 11:00:00,48.3,46.4,95.69,28.046991474655762,4.8,139.0,1002.7,100.0,0.7,Overcast,EST,N.Y.C.,61761,5463.1
12,2020-01-04 12:00:00,49.3,48.0,96.13,28.56018871944793,4.1,226.0,1002.6,90.6,0.8,Overcast,EST,N.Y.C.,61761,5562.6
13,2020-01-04 13:00:00,48.7,47.1,96.64,28.850988209084683,4.4,354.0,1000.6,100.0,1.3,Overcast,EST,N.Y.C.,61761,5562.4
14,2020-01-04 14:00:00,48.4,45.8,95.59,29.18013016309216,6.0,310.0,999.8,100.0,3.2,Overcast,EST,N.Y.C.,61761,5538.3
15,2020-01-04 15:00:00,49.8,47.6,92.74,29.61591231274745,5.6,282.0,1000.1,89.2,8.4,Partially cloudy,EST,N.Y.C.,61761,5529.4
16,2020-01-04 16:00:00,49.9,48.5,89.57,30.107710543951402,4.4,270.0,999.9,54.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5502.0
17,2020-01-04 17:00:00,50.4,50.4,86.98,30.648329997539218,3.0,324.0,999.9,77.2,9.9,Partially cloudy,EST,N.Y.C.,61761,5662.3
18,2020-01-04 18:00:00,49.9,48.1,88.7,30.89559414665522,5.0,312.0,1000.0,77.2,9.9,Partially cloudy,EST,N.Y.C.,61761,5714.4
19,2020-01-04 19:00:00,50.1,50.1,86.66,30.954246833216757,9.2,326.0,1000.0,56.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5662.7
20,2020-01-04 20:00:00,47.9,43.9,75.3,25.3,8.8,323.0,1000.0,69.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5574.8
21,2020-01-04 21:00:00,45.9,41.6,73.93,30.57524506339011,8.4,324.0,1000.4,83.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5482.6
22,2020-01-04 22:00:00,44.1,38.1,78.09,24.2,11.7,305.0,1000.6,92.3,9.2,"Rain, Overcast",EST,N.Y.C.,61761,5361.4
23,2020-01-04 23:00:00,43.1,36.9,75.25,26.9,11.5,302.0,1000.2,69.3,9.9,"Rain, Partially cloudy",EST,N.Y.C.,61761,5141.4
0,2020-01-05 00:00:00,41.0,32.9,75.77,27.2,15.5,305.0,1000.5,57.0,9.9,Partially cloudy,EST,N.Y.C.,61761,4908.3
1,2020-01-05 01:00:00,40.3,31.2,70.56,27.9,18.9,310.0,1000.9,58.6,9.9,Partially cloudy,EST,N.Y.C.,61761,4506.1
2,2020-01-05 02:00:00,39.6,30.3,64.07,30.6,18.7,310.0,1001.6,86.1,9.9,Partially cloudy,EST,N.Y.C.,61761,4353.6
3,2020-01-05 03:00:00,38.9,29.7,62.19,28.9,17.6,298.0,1003.0,80.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4432.7
4,2020-01-05 04:00:00,38.9,30.6,56.09,29.7,14.7,302.0,1003.8,69.7,9.9,Partially cloudy,EST,N.Y.C.,61761,4377.7
5,2020-01-05 05:00:00,38.7,28.1,50.11,37.2,23.2,304.0,1005.1,81.6,9.9,Partially cloudy,EST,N.Y.C.,61761,4391.2
6,2020-01-05 06:00:00,38.2,28.6,48.49,37.0,18.2,308.0,1006.2,98.4,9.9,Overcast,EST,N.Y.C.,61761,4488.5
7,2020-01-05 07:00:00,38.2,29.2,49.05,31.5,15.9,304.0,1007.2,29.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4656.9
8,2020-01-05 08:00:00,38.0,30.1,51.73,29.3,12.8,282.0,1008.2,87.5,9.9,Partially cloudy,EST,N.Y.C.,61761,4797.4
9,2020-01-05 09:00:00,38.3,29.1,50.78,31.1,16.9,296.0,1009.4,87.5,9.9,Partially cloudy,EST,N.Y.C.,61761,5016.8
10,2020-01-05 10:00:00,38.2,27.7,51.05,34.2,21.6,310.0,1010.5,53.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5214.2
11,2020-01-05 11:00:00,39.3,29.4,48.16,36.9,20.4,304.0,1010.3,37.5,9.9,Partially cloudy,EST,N.Y.C.,61761,5322.0
12,2020-01-05 12:00:00,40.0,30.5,46.51,39.4,20.1,302.0,1010.4,82.4,9.9,Partially cloudy,EST,N.Y.C.,61761,5419.4
13,2020-01-05 13:00:00,40.2,30.7,46.65,34.0,20.3,308.0,1010.6,80.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5455.3
14,2020-01-05 14:00:00,40.7,32.3,44.94,30.2,16.7,306.0,1011.0,87.5,9.9,Partially cloudy,EST,N.Y.C.,61761,5490.9
15,2020-01-05 15:00:00,41.8,34.8,41.88,23.8,13.0,298.0,1011.7,92.6,9.9,Overcast,EST,N.Y.C.,61761,5518.7
16,2020-01-05 16:00:00,40.9,32.7,40.33,25.9,16.0,300.0,1012.9,85.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5568.0
17,2020-01-05 17:00:00,38.9,32.8,46.49,33.0,8.8,316.0,1014.2,85.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5805.5
18,2020-01-05 18:00:00,37.6,28.1,46.87,28.9,17.4,330.0,1014.6,22.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5918.1
