,Time Stamp,temp,humidity,windgust,windspeed,sealevelpressure,cloudcover,visibility,conditions,Time Zone,Name,PTID,Load
0,2021-01-01 00:00:00,36.0,,,5.0,1029.5,10.5,9.9,Clear,EST,N.Y.C.,61761,4915.3086
1,2021-01-01 01:00:00,35.3,,,2.9,1030.1,10.5,9.9,Clear,EST,N.Y.C.,61761,4715.1763
2,2021-01-01 02:00:00,35.2,,,5.2,1030.9,10.5,9.9,Clear,EST,N.Y.C.,61761,4545.7417
3,2021-01-01 03:00:00,35.0,,,4.9,1031.4,10.5,9.9,Clear,EST,N.Y.C.,61761,4427.5566
4,2021-01-01 04:00:00,34.5,,,6.1,1031.6,10.5,9.9,Clear,EST,N.Y.C.,61761,4340.761
5,2021-01-01 05:00:00,33.5,,,4.9,1031.9,10.5,9.9,Clear,EST,N.Y.C.,61761,4352.659
6,2021-01-01 06:00:00,33.8,56.42,,4.7,1032.1,10.5,9.9,Clear,EST,N.Y.C.,61761,4418.444
7,2021-01-01 07:00:00,33.5,56.36666666666667,,5.6,1032.8,20.3,9.9,Partially cloudy,EST,N.Y.C.,61761,4525.735
8,2021-01-01 08:00:00,33.5,56.66933333333333,,5.4,1033.4,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4602.133
9,2021-01-01 09:00:00,34.8,56.586571428571425,,8.5,1033.6,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4736.535
10,2021-01-01 10:00:00,36.2,56.42,,9.6,1033.6,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4805.109
11,2021-01-01 11:00:00,37.3,56.26,,4.1,1033.3,34.5,9.9,Partially cloudy,EST,N.Y.C.,61761,4973.66
12,2021-01-01 12:00:00,37.9,57.88,,6.1,1031.2,37.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5127.506
13,2021-01-01 13:00:00,38.9,56.09,,4.2,1030.6,37.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5217.4277
14,2021-01-01 14:00:00,39.1,59.67,,6.9,1029.5,38.4,9.350000000000001,Partially cloudy,EST,N.Y.C.,61761,5194.357
15,2021-01-01 15:00:00,39.1,61.88,,5.2,1030.4333333333334,69.2,9.01,Partially cloudy,EST,N.Y.C.,61761,5251.25
16,2021-01-01 16:00:00,38.6,66.59,,4.4,1030.1777777777777,100.0,8.093333333333332,Overcast,EST,N.Y.C.,61761,5366.0205
17,2021-01-01 17:00:00,37.7,75.31,,5.9,1030.0370370370372,100.0,7.236190476190477,"Rain, Overcast",EST,N.Y.C.,61761,5534.993
18,2021-01-01 18:00:00,37.5,79.36,,7.5,1030.2160493827162,100.0,7.7,"Rain, Overcast",EST,N.Y.C.,61761,5558.6455
19,2021-01-01 19:00:00,37.3,82.95,,8.7,1030.1436213991772,100.0,8.2,"Rain, Overcast",EST,N.Y.C.,61761,5529.159
20,2021-01-01 20:00:00,37.5,87.73,,7.7,1030.1322359396436,100.0,4.4,"Rain, Overcast",EST,N.Y.C.,61761,5461.4443
21,2021-01-01 21:00:00,37.5,88.44,,7.4,1030.163968907179,100.0,3.9,"Rain, Overcast",EST,N.Y.C.,61761,5350.9033
22,2021-01-01 22:00:00,37.6,90.81,,8.7,1025.6349565615,100.0,2.6,"Rain, Overcast",EST,N.Y.C.,61761,5238.9976
23,2021-01-01 23:00:00,37.6,91.33,,6.8,1021.7262322816647,100.0,3.1,"Rain, Overcast",EST,N.Y.C.,61761,5050.496
0,2021-01-02 00:00:00,38.6,90.36,,9.2,1018.1875262917239,100.0,6.9,"Rain, Overcast",EST,N.Y.C.,61761,4805.0996
1,2021-01-02 01:00:00,38.6,91.93,,9.7,1014.9783878764126,100.0,2.8,"Rain, Overcast",EST,N.Y.C.,61761,4599.505
2,2021-01-02 02:00:00,36.4,94.44,,10.4,1012.1,100.0,2.9,"Rain, Overcast",EST,N.Y.C.,61761,4443.2207
3,2021-01-02 03:00:00,37.6,91.41,,8.8,1010.6,100.0,3.5,"Rain, Overcast",EST,N.Y.C.,61761,4332.0977
4,2021-01-02 04:00:00,38.1,95.54,,5.3,1008.9,100.0,3.2,"Rain, Overcast",EST,N.Y.C.,61761,4258.6074
5,2021-01-02 05:00:00,39.1,93.29,,1.8,1007.7,100.0,3.2,Overcast,EST,N.Y.C.,61761,4259.549
6,2021-01-02 06:00:00,38.0,91.27,17.9,7.1,1007.1,100.0,3.2,Overcast,EST,N.Y.C.,61761,4321.598
7,2021-01-02 07:00:00,37.7,93.98,20.433333333333334,2.2,1007.7,100.0,4.2,Overcast,EST,N.Y.C.,61761,4481.8047
8,2021-01-02 08:00:00,39.2,92.04,21.786666666666665,5.5,1008.3,100.0,4.2,Overcast,EST,N.Y.C.,61761,4611.4766
9,2021-01-02 09:00:00,40.7,89.76,22.84571428571428,6.8,1008.5,89.5,8.0,Partially cloudy,EST,N.Y.C.,61761,4783.7207
10,2021-01-02 10:00:00,46.0,76.68,17.9,8.3,1008.5,19.2,9.9,Clear,EST,N.Y.C.,61761,4877.4326
11,2021-01-02 11:00:00,50.5,66.27,25.5,13.9,1008.9,73.9,9.9,Partially cloudy,EST,N.Y.C.,61761,4960.8223
12,2021-01-02 12:00:00,51.4,59.09,27.2,13.8,1008.7,65.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5007.4756
13,2021-01-02 13:00:00,51.5,57.52,29.2,15.6,1008.9,44.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5059.929
14,2021-01-02 14:00:00,50.9,55.13,25.0,11.5,1010.3,65.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5042.5483
15,2021-01-02 15:00:00,49.5,53.59,29.5,15.9,1012.0,35.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5023.2373
16,2021-01-02 16:00:00,47.2,52.68,33.9,13.5,1013.8,25.4,9.9,Partially cloudy,EST,N.Y.C.,61761,5110.2935
17,2021-01-02 17:00:00,44.7,54.28,29.2,12.2,1015.2,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,5335.6836
18,2021-01-02 18:00:00,42.9,57.66,26.5,12.4,1016.4,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,5523.9326
19,2021-01-02 19:00:00,42.4,57.53,16.3,7.4,1017.4,19.2,9.9,Clear,EST,N.Y.C.,61761,5477.5767
